Bee #,Nest Code,CHC File Located,All Nestmates?,Social Phenotype,Date,Reproductivity,Caste,Notes,Brood Notes,Thorax Width,Largest Oocyte Length,Oocyte Width,Ovariole Length,Oocyte Index,DF Width,DF Length (mm),Behavior Score,Behavior Score Subordinate Classifier,Behavioral Notes,Bead Assay,Dissection Type,CHC Notes
129,A-KO-053,yes,Yes,Solitary,6/26/23,Some_rep,Sol_rep,,,,0.485,0.259,2.103,0.23062292,0.531,3.237,No contact,NA,pilot assay,Pentane,RNAlater ICE,
135,A-KO-055,yes,Yes,Solitary,6/26/23,Some_rep,Sol_nr,,"1 pupa collected, squished 2 pupa ",,0.969,0.193,3.148,0.307814485,0.476,2.917,,,No assay,No assay,RNAlater ICE,
137,F-KO-056,yes,Yes,Solitary,6/26/23,Some_rep,Sol_nr,,Brood squished,,0.541,0.247,2.279,0.237384818,0.49,3.177,No contact,NA,pilot assay,Pentane,RNAlater ICE,
138,E-SW-001,yes,Yes,Solitary,6/26/23,Some_rep,Sol_rep,,No brood,,0.822,0.454,2.07,0.397101449,0.479,3.48,,,No assay,No assay,RNAlater ICE,
139,E-SW-002,yes,Yes,Solitary,6/26/23,No_rep,Sol_nr,,No brood,,0.336,0.265,2.133,0.157524613,0.522,3.293,Pass,Neutral,"pilot assay, agitated with tapping and q tip",Mono alkenes,RNAlater ICE,
144,F-KO-058,NO,Yes,Solitary,6/26/23,Some_rep,Sol_nr,,3 pupa,1.621,0.792,0.195,2.148,0.368715084,0.503,3.28,,,No assay,No assay,Ethanol+PBS,
156,A-KO-64,yes,Yes,Solitary,6/26/23,Some_rep,Sol_rep,,"2 female pupa, 3 larvae (?) ",,0.634,0.157,2.216,0.286101083,0.487,2.426,,,No assay,No assay,RNAlater ICE,
159,A-KO-065,yes,Yes,Solitary,6/26/23,Some_rep,Sol_rep,,"1 pupa, 3 eggs (?)",,0.741,0.28,2.097,0.353361946,0.543,2.598,,,No assay,No assay,RNAlater ICE,
161,A-KO-063,yes,Yes,Solitary,6/26/23,No_rep,Sol_nr,,3 pupae,,0.381,0.215,2.822,0.135010631,0.523,2.861,,,No assay,No assay,RNAlater ICE,
288,B-JS-010,yes,Yes,Solitary,6/26/23,No_rep,Sol_nr,,"1 pupae, 4 brood cells",,0.551,0.226,3.323,0.165814023,0.476,3.686,No contact,NA,pilot assay,Pentane,RNAlater ICE,
292,B-JS-011,yes,Yes,Solitary,6/26/23,Some_rep,Sol_rep,,2 pupae,,0.69,0.246,1.975,0.349367089,0.382,2.435,,,No assay,No assay,RNAlater ICE,
298,B-JS-013,yes,Yes,Solitary,6/26/23,No_rep,Sol_nr,,2 pupae,,0,0,3.596,0,0.615,3.003,,,No assay,No assay,RNAlater ICE,
301,B-JS-014,yes,Yes,Solitary,6/26/23,No_rep,Sol_nr,,No brood,,0.299,0.238,2.062,0.14500485,0.418,3.603,,,No assay,No assay,RNAlater ICE,
365,ED-JS-001,yes,No,Social*,7/7/23,No_rep,W,Probably social and workers had left already based on brood development and location,"2 eggs, 5 pollen balls. ",1.96,0,0,2.856,0,0.568,2.222,Pass,Neutral,Q tip used,Mono alkenes,Ethanol,
366,ED-JS-002,yes,No,Social*,7/7/23,Rep,Q,"Proably social, but unclear",Four pollen balls and 2 eggs. Found near top of nest. Not sure if queen whose workers left or worker herself,1.612,1.261,0.35,1.937,0.651006711,0.596,1.583,Pass,Neutral,"Q tip used, very agitated",Pentane,Ethanol,
367,E-JS-030,yes,Yes,Social,7/8/23,Rep,Q,,No brood,2.275,2.671,0.445,4.837,0.552201778,0.363,3.591,Pass,Neutral,,Alkane,Ethanol+PBS,
368,E-JS-030,NO,Yes,Social,7/8/23,No_rep,W,,No brood,1.788,0,0,0,0,0.213,1.226,Pass,Neutral,,Alkane,Ethanol+PBS,
369,E-JS-030,yes,Yes,Social,7/8/23,Some_rep,W_dev,Probably queen?,No brood,1.546,0.556,0.097,2.619,0.212294769,0.582,2.94,No contact,No contact,Q tip used,Alkane,Ethanol+PBS,
370,E-JS-030,yes,Yes,Social,7/8/23,No_rep,W,"Found last, deep in nest. Much smaller than others. New worker or maybe freshly enclosed brood? Only one other pollen ball found though. Nest was very very deep.",No brood,1.329,0.264,0.124,2.565,0.102923977,0.35,2.154,No contact,No contact,Q tip used,Alkane,Ethanol+PBS,
371,E-JS-031,yes,Yes,Social,7/11/23,Some_rep,W_dev,,"13 pollen balls, 4 eggs. this one is definitely a worker. Found at the entrance guarding",1.701,0.79,0.264,2.365,0.334038055,0.597,3.588,Pass,Neutral,Q tip used,Di alkene,Ethanol+PBS,
372,E-JS-031,yes,Yes,Social,7/11/23,Rep,Q,Worker probably,see 371,1.645,2.672,0.687,3.754,0.711774108,0.53,3.644,Pass,Neutral,,Di alkene,Ethanol+PBS,
373,E-JS-031,yes,Yes,Social,7/11/23,Some_rep,W_dev,"Queen probably. 13 pollen balls. Sphecodes parasitoid also found inside
",see 371,1.668,0.625,0.109,2.616,0.238914373,0.545,2.921,Pass,Neutral,Q tip used,Pentane,Ethanol+PBS,
374,E-JS-032,yes,Yes,Social,7/11/23,Some_rep,W_dev,,"7 brood cells. Third female in this nest was squished, and it was probably the queen. 374 and 375 are probably workers. 7 pollen balls found.",1.642,0.504,0.149,2.397,0.210262829,0.323,3.495,Back,Neutral,Q tip used,Pentane,Ethanol+PBS,
375,E-JS-032,yes,Yes,Social,7/11/23,Rep,Q,,7 pollen balls,1.692,2.044,0.381,3.405,0.600293686,0.516,3.255,Back,Neutral,,Pentane,Ethanol+PBS,
376,E-JS-033,yes,Yes,Social,7/12/23,No_rep,W_dev,,7 pollen balls. Very orange and large,1.85,0.543,0.209,2.843,0.190995427,0.464,4.017,No contact,No contact,Q tip used,Di alkene,Ethanol+PBS,
377,E-JS-033,yes,Yes,Social,7/12/23,Rep,W_dev,,see 376,1.74,1.438,0.588,3.209,0.448114677,0.457,2.258,No contact,No contact,,Di alkene,Ethanol+PBS,
378,E-JS-033,yes,Yes,Social,7/12/23,No_rep,W,,see 376,1.735,0.441,0.264,2.782,0.158519051,0.474,2.852,No contact,No contact,Q tip used,Di alkene,Ethanol+PBS,
379,E-JS-033,yes,Yes,Social,7/12/23,Rep,Q,,see 376,1.963,3.457,0.503,4.322,0.799861175,0.568,3.937,Pass,Neutral,Q tip used,Di alkene,Ethanol+PBS,
386,E-JS-037,yes,Yes,Social,7/16/23,Rep,Q,,"6 pollen balls, 4 large larvae, 2 medium larvae",,,,,,,,,,No assay,No assay,NA,
398,E-JS-055,yes,No,Social,7/18/23,Rep,Q,,Found with 1 female (squished) no brood,,1.151,0.254,2.081,0.553099471,0.561,3.091,,,No assay,No assay,RNAlater ICE,
399,E-JS-057,yes,Yes,Social,7/18/23,No_rep,W_dev,,"Found alone, shallow nest, no brood",,0.423,0.206,2.28,0.185526316,0.539,3.464,,,No assay,No assay,RNAlater ICE,
400,E-JS-056,yes,Yes,Social,7/18/23,Rep,Q,,4 large larvae. 4 medium larvae,,1.432,0.451,2.745,0.521675774,0.599,3.369,,,No assay,No assay,RNAlater ICE,
401,E-JS-058,yes,Yes,Social,7/18/23,Rep,Q,,"1 male pupa, 4 large larvae, 3 medium, 1 small",,1.84,0.465,3.661,0.502594919,0.455,3.567,,,No assay,No assay,RNAlater ICE,
402,E-JS-057,yes,Yes,Social,7/18/23,Some_rep,Q,,"2male pupae, 1 large larva, 6 medium, 1 small",,0.906,0.32,3.331,0.271990393,0.561,4.058,,,No assay,No assay,RNAlater ICE,
403,E-JS-058,yes,Yes,Social,7/18/23,No_rep,W,,"3 male pupae, 10 medium larvae",,0.25,0.141,2.3,0.108695652,0.426,3.379,,,No assay,No assay,RNAlater ICE,
404,E-JS-058,yes,Yes,Social,7/18/23,Some_rep,W_dev,,See 403,,0.922,0.348,3.141,0.29353709,0.484,3.382,,,No assay,No assay,RNAlater ICE,
614,B-EW-042,yes,Yes,Solitary,6/26/23,Some_rep,Sol_rep,,Nest had 3 pale female pupae,,0.592,0.243,2.548,0.232339089,0.636,2.954,,,No assay,No assay,RNAlater ICE,
618,B-EW-043,yes,Yes,Solitary,6/26/23,No_rep,Sol_nr,,No brood,,0.227,0.176,2.455,0.092464358,0.543,2.712,No contact,No contact,pilot assay,Pentane,RNAlater ICE,
