Bee #,Nonadecane,Hexadecanolide,Octadecanal,Heneicosane,Octadecadienoic Acid,Octadecanolide,Octadecenolide,Eicosanal,Tricosene,Tricosane,Unknown RI2360,Eicosanolide,Eicosenolide,Pentacosene,Pentacosane,Unknown RI2496,11/13-methylpentacosane?,Docosene,Unknown RI2568,Hexacosene,Unknown RI2620,Docosenolide,Docosanolide,Heptacosadiene,Unknown RI2687,Heptacosene,Heptacosane,Unknown RI2739,Octacosane,Tetracosanolide,Tetracosenolide,Nonacosene,3-Methyl-3-Butenyl Docosanoate,Nonacosane,Hexacosenolide,Hexacosanolide,Triacontane,3-Methyl-3-Butenyl Tetracosanoate,Tritriacontane,Pentatriacontene,Heptatriacontadiene,Heptatriacontene,Unknown RI2155,11-Methyltricosane,Alkane_total,Alkene_total,Methylalkane_total,Lactone_total
129,0.007,0.031,0.001,0.912,0.002,2.677,0.088,0.001,0.021,2.796,0.022,3.134,2.948,0.012,2.406,0.192,0.015,0.01,0.361,0.006,0.241,1.967,2.786,0.015,0.228,0.116,1.488,0.026,0.138,0.64,0.908,0.035,0.024,0.143,0.036,0.011,0.002,0.001,0.004,0.033,0.122,0.035,0.002,0.007,7.894,0.402,0.021,15.227
135,0.02,0.033,0.002,2.799,0.004,4.663,0.172,0.003,0.025,3.673,0.024,4.116,6.75,0.056,3.413,0.498,0.013,0.015,0.38,0.01,0.262,5.13,4.018,0.048,0.684,0.302,1.967,0.082,0.363,1.729,3.12,0.091,0.097,0.321,0.211,0.046,0.006,0.023,0.009,0.058,0.149,0.048,0.003,0.009,12.572,0.802,0.023,29.987
137,0.008,0.03,0,1.371,0.003,4.637,0.258,0.002,0.02,1.54,0.023,4.004,5.598,0.016,1.972,0.378,0.033,0.014,1.059,0.004,0.967,3.751,3.776,0.043,0.321,0.114,1.078,0.066,0.25,1.168,1.824,0.08,0.045,0.142,0.075,0.019,0.003,0.002,0.004,0.025,0.106,0.034,0.001,0.01,6.368,0.456,0.043,25.139
138,0.003,0.03,0.001,0.061,0,0.232,0.009,0,0.022,0.785,0.019,1.908,0.775,0.067,4.984,0.131,0.02,0.01,0.042,0.005,0.04,0.574,1.712,0.039,0.045,0.165,1.088,0,0.045,0.21,0.147,0.023,0.006,0.132,0.003,0.004,0.001,0,0.001,0.012,0.034,0.01,0.001,0.003,7.1,0.386,0.023,5.605
139,0.002,0.031,0,0.124,0,0.72,0.015,0,0.018,0.234,0.02,2.034,1.516,0.006,1.801,0.057,0.01,0.011,0.554,0.004,0.419,0.877,1.46,0.008,0.065,0.066,0.953,0.004,0.033,0.131,0.265,0.022,0.003,0.171,0.007,0.002,0.001,0,0.001,0.021,0.108,0.026,0.001,0.001,3.322,0.289,0.012,7.059
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0.029,0.032,0.003,3.898,0.007,5.995,0.866,0.011,0.034,5.596,0.034,4.417,7.502,0.058,3.584,3.3,0.107,0.042,1.362,0.013,1.174,5.814,4.355,0.129,2.07,0.159,3.374,0.244,0.453,2.138,3.223,0.173,0.379,0.408,0.163,0.061,0.011,0.033,0.01,0.06,0.251,0.057,0.002,0.042,17.363,0.977,0.149,34.568
159,0.002,0.031,0,0.408,0.001,0.315,0.005,0,0.018,3.586,0.022,0.395,0.192,0.004,2.162,0.047,0.023,0.011,0.631,0.004,0.57,0.126,0.329,0.007,0.033,0.048,0.974,0.003,0.009,0.016,0.056,0.012,0,0.093,0.002,0,0.001,0,0.002,0.022,0.112,0.042,0.001,0.011,7.236,0.282,0.034,1.466
161,0.006,0.031,0,0.934,0.002,2.115,0.054,0.001,0.018,1.402,0.021,2.782,2.73,0.006,1.363,0.082,0.019,0.011,0.365,0.006,0.228,1.723,2.293,0.012,0.098,0.039,0.652,0.013,0.086,0.383,0.729,0.005,0.005,0.073,0.025,0.005,0.001,0.004,0.003,0.018,0.095,0.026,0.001,0.006,4.52,0.235,0.025,12.868
288,0.002,0.031,0.001,0.43,0.001,1.689,0.061,0.001,0.02,2.583,0.022,1.714,1.203,0.011,3.104,0.114,0.027,0.012,0.821,0.006,0.535,0.674,1.375,0.012,0.065,0.116,2.09,0.013,0.046,0.173,0.266,0.025,0.007,0.202,0.01,0.003,0.002,0,0.005,0.067,0.235,0.063,0.001,0.007,8.465,0.568,0.035,7.2
292,0.018,0.033,0.002,3.075,0.006,5.802,0.831,0.009,0.027,4.507,0.028,4.289,7.11,0.153,3.243,2.364,0.035,0.021,0.796,0.013,0.629,5.493,4.223,0.093,1.4,0.754,2.862,0.231,0.444,2.14,3.228,0.224,0.25,0.264,0.229,0.069,0.009,0.016,0.007,0.044,0.112,0.035,0.004,0.014,14.43,1.477,0.049,33.447
298,0.005,0.032,0.001,1.256,0.004,5.212,0.427,0.005,0.024,2.817,0.026,4.196,7.501,0.021,2.282,0.561,0.053,0.036,1.295,0.027,1.997,5.123,4.078,0.095,0.774,0.163,2.709,0.111,0.304,1.401,2.497,0.09,0.078,0.184,0.108,0.028,0.004,0.008,0.006,0.033,0.103,0.035,0.002,0.013,9.568,0.627,0.066,30.604
301,0.132,0.036,0.003,5.888,0.011,6.304,1.326,0.015,0.038,5.587,0.034,4.387,7.965,0.102,3.633,2.576,0.071,0.13,1.126,0.014,0.995,6.75,4.401,0.155,2.362,0.534,3.016,0.471,0.524,2.52,4.799,0.26,0.415,0.386,0.448,0.106,0.011,0.028,0.01,0.043,0.188,0.029,0.004,0.034,19.187,1.494,0.105,39.042
365,0.003,0.033,0.001,0.053,0,3.463,0.301,0.002,0.11,3.23,0.024,3.456,2.305,0.665,3.352,0.398,0.046,0.065,0.002,0.023,0.031,1.422,3.039,0.102,0.197,1.021,1.073,0.026,0.141,0.673,0.457,0.191,0.127,0.058,0.015,0.015,0.003,0.017,0.003,0.004,0.009,0.001,0.001,0.015,7.917,2.191,0.061,15.178
366,0.002,0.084,0.001,0.317,0.003,6.493,3.41,0.011,0.038,4.338,0.035,4.318,6.736,0.061,5.482,2.442,0.086,0.827,0.071,0.083,0.093,5.16,4.416,0.075,0.362,0.046,3.484,0.209,0.46,2.229,2.599,0.076,0.715,0.381,0.067,0.061,0.011,0.561,0.024,0.071,0.149,0.086,0.001,0.018,14.499,1.512,0.105,35.573
367,0.003,8.154,0.217,1.558,0.625,5.539,9.512,0.199,6.117,7.959,5.803,0.938,0.269,4.201,6.975,0.342,0.245,0.221,0.006,0.093,0.04,0.049,0.562,0.018,0.053,1.542,5.947,0.032,0.11,0.018,0.057,0.055,0,1.779,0.003,0.01,0.022,0.163,0.07,0.008,0.014,0.04,0.232,0.185,24.422,12.311,0.43,25.111
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,0.006,7.512,0.034,2.162,0.066,2.573,6.955,0.039,6.798,6.483,2.226,0.13,0.027,0.145,2.53,0.073,0.025,0.033,0.001,0.013,0.027,0.006,0.139,0.002,0.036,0.232,2.958,0.009,0.026,0,0.035,0.034,0,0.423,0.002,0.002,0.004,0.014,0.009,0.001,0.001,0,0.012,0.029,14.602,7.259,0.054,17.38
370,0.003,0.579,0.002,0.39,0.002,0.095,0.18,0.001,4.797,5.245,0.028,0.05,0,0.203,0.928,0.039,0.005,0.007,0.001,0.003,0.025,0,0.057,0,0.031,0.079,0.238,0,0,0,0.046,0.004,0,0.039,0.001,0,0.001,0.003,0.003,0,0,0,0.002,0.013,6.846,5.091,0.019,1.007
